luminosity = 2262
channels = 45
sample = zinv

channel                   =     bin1     bin2     bin3     bin4     bin5     bin6     bin7     bin8     bin9    bin10    bin11    bin12    bin13    bin14    bin15    bin16    bin17    bin18    bin19    bin20    bin21    bin22    bin23    bin24    bin25    bin26    bin27    bin28    bin29    bin30    bin31    bin32    bin33    bin34    bin35    bin36    bin37    bin38    bin39    bin40    bin41    bin42    bin43    bin44    bin45

rate                      =  8.29891  3.03308  1.47797  0.81337  2.79968  3.22369  2.18430  1.24018  0.50786  1.83990  4.35992  1.97989  0.77674  0.38074  0.21366  0.71053  0.78142  0.50394  0.32858  0.51552  0.98212  1.21241  0.35664  0.17032  0.85865  0.63771  0.48498  0.21789  1.29828  0.26104  0.10023  0.04097  0.21904  0.18115  0.08790  0.05886  0.27099  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000

cs_event                  =     3900     1569      859      511     1474     1579     1125      769      349      924     2771      933      353      203      132      338      385      267      188      295      650      137       78      104      424      187       76      366      250      248      121      721       77       43       13       80       62       51       29      138       28       32       64       25        1
avg_weight                =  0.00213  0.00193  0.00172  0.00159  0.00190  0.00204  0.00194  0.00161  0.00146  0.00199  0.00157  0.00212  0.00220  0.00188  0.00162  0.00210  0.00203  0.00189  0.00175  0.00175  0.00151  0.00885  0.00457  0.00164  0.00203  0.00341  0.00638  0.00060  0.00519  0.00105  0.00083  0.00006  0.00284  0.00421  0.00676  0.00074  0.00437  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000

stat_unc_up = xxx yy zz
stat_unc_dn = xxx yy zz

syst_unc_meu_dn           =  0.01849  0.04310  0.03677  0.06303  0.00725  0.01908  0.04307  0.05057  0.06180  0.01731  0.03984  0.02342  0.02428  0.04751  0.03806  0.02716  0.04423  0.06519  0.06587  0.01050  0.03905  0.01946  0.05858  0.02664  0.00656  0.00677  0.05147  0.01709  0.03295  0.04283  0.11587  0.16564  0.01977  0.04403  0.03453  0.00363  0.01869  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_scale_up         =  0.01068  0.00248  0.00076  0.00146  0.01620  0.00740  0.01041  0.00367  0.04066  0.00597  0.00308  0.00852  0.00161  0.00105  0.00561  0.01045  0.00166  0.00934  0.00146  0.00764  0.00327  0.02977  0.04088  0.02095  0.02503  0.00804  0.01873  0.04689  0.01405  0.02518  0.02603  0.01149  0.02013  0.00393  0.01275  0.02004  0.02252  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_scale_dn         =  0.01068  0.00248  0.00076  0.00146  0.01620  0.00740  0.01041  0.00367  0.04066  0.00597  0.00308  0.00852  0.00161  0.00105  0.00561  0.01045  0.00166  0.00934  0.00146  0.00764  0.00327  0.02977  0.04088  0.02095  0.02503  0.00804  0.01873  0.04689  0.01405  0.02518  0.02603  0.01149  0.02013  0.00393  0.01275  0.02004  0.02252  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_pdf_up           =  0.01977  0.01123  0.00593  0.00438  0.00644  0.00284  0.00009  0.02177  0.00400  0.01425  0.06027  0.00450  0.09945  0.08495  0.00241  0.00381  0.00093  0.01528  0.03564  0.00907  0.03346  0.01090  0.01076  0.00869  0.02002  0.00992  0.11740  0.01023  0.06018  0.02494  0.21216  0.02766  0.02571  0.01243  0.03106  0.01222  0.28568  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_pdf_dn           =  0.01977  0.01123  0.00593  0.00438  0.00644  0.00284  0.00009  0.02177  0.00400  0.01425  0.06027  0.00450  0.09945  0.08495  0.00241  0.00381  0.00093  0.01528  0.03564  0.00907  0.03346  0.01090  0.01076  0.00869  0.02002  0.00992  0.11740  0.01023  0.06018  0.02494  0.21216  0.02766  0.02571  0.01243  0.03106  0.01222  0.28568  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_trig_up          =  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01185  0.01101  0.01105  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01120  0.01105  0.01570  0.01095  0.01099  0.01570  0.01095  0.01101  0.01212  0.01103  0.01570  0.01095  0.01100  0.01570  0.01095  0.01100  0.01218  0.01103  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_trig_dn          =  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01185  0.01101  0.01105  0.01570  0.01095  0.01099  0.01105  0.01570  0.01095  0.01099  0.01105  0.01120  0.01105  0.01570  0.01095  0.01099  0.01570  0.01095  0.01101  0.01212  0.01103  0.01570  0.01095  0.01100  0.01570  0.01095  0.01100  0.01218  0.01103  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_btag_up          =  0.02508  0.02109  0.01740  0.01680  0.02971  0.02893  0.02613  0.01968  0.03448  0.03467  0.03104  0.06869  0.06924  0.05782  0.06088  0.08097  0.06984  0.07046  0.07115  0.07779  0.08182  0.02308  0.02756  0.01470  0.02058  0.02099  0.02837  0.01937  0.02212  0.06317  0.06015  0.07553  0.06995  0.05862  0.06287  0.05258  0.06645  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_btag_dn          =  0.02610  0.02207  0.01831  0.01760  0.03095  0.03001  0.02711  0.02063  0.03618  0.03586  0.03209  0.06696  0.06762  0.05673  0.05950  0.07834  0.06796  0.06869  0.06917  0.07520  0.07927  0.02430  0.02917  0.01518  0.02180  0.02230  0.03000  0.02051  0.02335  0.06218  0.05872  0.07298  0.06773  0.05767  0.06201  0.05316  0.06549  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_bmistag_up       =  0.04225  0.04605  0.04790  0.04947  0.04316  0.04227  0.03952  0.04073  0.04059  0.04290  0.04611  0.05287  0.06104  0.08465  0.07632  0.03993  0.05325  0.05469  0.05209  0.06544  0.06773  0.02974  0.03350  0.04698  0.03516  0.04090  0.03415  0.04748  0.04372  0.05731  0.07496  0.07018  0.05260  0.06068  0.08669  0.03198  0.07207  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
syst_unc_bmistag_dn       =  0.04320  0.04708  0.04894  0.05052  0.04402  0.04314  0.04034  0.04166  0.04177  0.04376  0.04702  0.04965  0.05677  0.07839  0.07119  0.03845  0.05137  0.05290  0.05020  0.06053  0.06506  0.03079  0.03471  0.04883  0.03644  0.04212  0.03539  0.04858  0.04508  0.05713  0.07132  0.06830  0.04924  0.05632  0.08038  0.03243  0.06669  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
